no_rooms,sqm,yield_on_mortgage_credit_bonds%,price_usd_log,house_age,year,quarter_num,house_type_Farm,house_type_Summerhouse,house_type_Townhouse,house_type_Villa,region_Fyn & islands,region_Jutland,region_Zealand,sales_type_family_sale,sales_type_other_sale,sales_type_regular_sale,"area_Capital, Copenhagen",area_East & mid jutland,area_Fyn & islands,area_North Zealand,area_North jutland,area_Other islands,area_South jutland
6.0,158.0,4.34,12.983103608918753,10.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
4.0,157.0,4.34,12.991687332961895,57.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,56.0,4.34,12.611541086966115,39.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,92.0,4.34,12.307053082633972,47.0,2024,3,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
5.0,126.0,4.34,12.626429650198945,69.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,76.0,4.34,12.834683971615659,52.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
5.0,113.0,4.34,12.560247968016562,40.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
2.0,100.0,4.34,12.199808063950462,59.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
2.0,63.0,4.34,10.755261096378494,5.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,112.0,4.34,11.990717436189177,52.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,75.0,4.34,13.557388582251582,121.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
2.0,71.0,4.34,12.218500103788143,53.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
4.0,110.0,4.34,12.6459424009624,59.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,70.0,4.34,12.636233618255941,40.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,103.0,4.34,12.733758336210744,51.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
5.0,140.0,4.34,12.440160093353626,112.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
2.0,63.0,4.34,12.121336859237145,35.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,65.0,4.34,13.05140643553614,53.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,70.0,4.34,12.48937388613538,53.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,126.0,4.34,12.91164481522143,67.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,92.0,4.34,12.184598722396833,61.0,2024,3,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False
3.0,85.0,4.34,12.25486757159303,14.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,150.0,4.34,11.225256725762893,97.0,2024,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2.0,45.0,4.34,12.449022745701502,119.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,58.0,4.34,12.713144281894317,59.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
5.0,158.0,4.34,12.218500103788143,48.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,112.0,4.34,12.598962346953208,59.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
2.0,71.0,4.34,12.24769911637256,53.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,92.0,4.34,11.845827048676645,125.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,93.0,4.34,12.446077247039748,38.0,2024,3,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
4.0,95.0,4.34,11.274046255019954,63.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
5.0,124.0,4.34,12.17690641622179,60.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,58.0,4.34,12.791776587514294,114.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
5.0,85.0,4.34,11.038929878454953,83.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
5.0,138.0,4.34,12.506180941677357,53.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,84.0,4.34,13.015337030575438,7.0,2024,3,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,152.0,4.34,14.087445035352388,19.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
3.0,99.0,4.34,12.844634276066257,53.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
5.0,109.0,4.34,12.749126321452332,67.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
